subject,trial,image,tracking data
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.30500"" FPOGX=""0.48846"" FPOGY=""0.61038"" FPOGS=""11.61515"" FPOGD=""0.65694"" FPOGID=""3710"" FPOGV=""0"" BPOGX=""0.47577"" BPOGY=""0.61576"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.32142"" FPOGX=""0.49095"" FPOGY=""0.60715"" FPOGS=""11.61515"" FPOGD=""0.65694"" FPOGID=""3710"" FPOGV=""0"" BPOGX=""0.49593"" BPOGY=""0.60069"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.33773"" FPOGX=""0.49349"" FPOGY=""0.59319"" FPOGS=""12.28847"" FPOGD=""0.04926"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.50111"" BPOGY=""0.55130"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.35429"" FPOGX=""0.49502"" FPOGY=""0.58481"" FPOGS=""12.28847"" FPOGD=""0.06583"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.50111"" BPOGY=""0.55130"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.37062"" FPOGX=""0.49776"" FPOGY=""0.58559"" FPOGS=""12.28847"" FPOGD=""0.08215"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.51150"" BPOGY=""0.58950"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.38703"" FPOGX=""0.50213"" FPOGY=""0.58377"" FPOGS=""12.28847"" FPOGD=""0.09856"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.52833"" BPOGY=""0.57286"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.40344"" FPOGX=""0.50527"" FPOGY=""0.58292"" FPOGS=""12.28847"" FPOGD=""0.11497"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.52728"" BPOGY=""0.57691"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.42000"" FPOGX=""0.50635"" FPOGY=""0.58074"" FPOGS=""12.28847"" FPOGD=""0.13153"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.51500"" BPOGY=""0.56330"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.43661"" FPOGX=""0.50690"" FPOGY=""0.57855"" FPOGS=""12.28847"" FPOGD=""0.14814"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.51182"" BPOGY=""0.55887"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.45331"" FPOGX=""0.50726"" FPOGY=""0.57716"" FPOGS=""12.28847"" FPOGD=""0.16484"" FPOGID=""3711"" FPOGV=""1"" BPOGX=""0.51082"" BPOGY=""0.56329"" BPOGV=""1"" />
"
